"actor_code","actor_name","synonym","tier","source","status","evidence","added"
"AUS1","Department of Foreign Affairs and Trade, Australia","Department of Foreign Affairs and Trade","trusted","registry-rule:comma","active","","2026-09-14"
"AUS3","Australian National University","ANU","trusted","website","active","anu.edu.au heading: About ANU","2026-09-14"
"AUS4","Commonwealth Scientific and Industrial Research","Commonwealth Scientific and Industrial Research Organisation","trusted","website","active","csiro.au title (registry name is missing the last word)","2026-09-14"
"AUS4","Commonwealth Scientific and Industrial Research","CSIRO","trusted","website","active","csiro.au title ends: Australian Government - CSIRO","2026-09-14"
"AUS5","University of Queensland Australia","The University of Queensland","trusted","website","active","uq.edu.au title and og:site_name","2026-09-14"
"AUT1","University of Vienna","Universität Wien","trusted","website","active","univie.ac.at title and og:site_name","2026-09-14"
"AUT4","Nourivit Technologies","Valibiotics","trusted","website","active","site now titles itself: Start - Valibiotics (renamed)","2026-09-14"
"AUT6","Hope '87 - Hundreds of Original Projects for Employment","HOPE '87","trusted","website","active","hope87.at title: HOPE '87 - Hundreds of Original Projects for Employment","2026-09-14"
"AUT7","City of Vienna, Austria","City of Vienna","trusted","registry-rule:comma","active","","2026-09-14"
"BDI1","Institut des Sciences Agronomiques du Burundi","ISABU","trusted","website","active","og:site_name: ISABU","2026-09-14"
"BEL10","Université Catholique de Louvain","UCLouvain","trusted","website","active","redirects to uclouvain.be","2026-09-14"
"BEL11","Académie de Recherche et d’Enseignement Supérieur","ARES","trusted","website","active","title: Accueil | ARES","2026-09-14"
"BEL12","Free University of Brussels","Université Libre de Bruxelles","trusted","website","active","title: ULB - UNIVERSITE LIBRE DE BRUXELLES","2026-09-14"
"BEL13","University of Mons","UMONS","trusted","website","active","heading: Tu souhaites t'inscrire à l'UMONS ?","2026-09-14"
"BEL13","University of Mons","Université de Mons","trusted","website","active","og:site_name: Université de Mons","2026-09-14"
"BEL17","Red Cross Belgium","Croix-Rouge de Belgique","trusted","website","active","title: ... | Croix-Rouge de Belgique","2026-09-14"
"BEL19","University of Namur","UNamur","trusted","website","active","og:site_name: UNamur","2026-09-14"
"BEL19","University of Namur","Université de Namur","trusted","website","active","title: Université de Namur","2026-09-14"
"BEL20","SOS Faim","Humundi","trusted","website","active","title: Humundi, anciennement SOS Faim; heading: SOS Faim devient HUMUNDI (renamed)","2026-09-14"
"BEL21","Trias Worldwide","Trias","trusted","website","active","title: Trias - Turning dreams into opportunities","2026-09-14"
"BEL22","Entrepreneurs for Entrepreneurs","OVO","trusted","website","active","title and heading: OVO strengthens entrepreneurship in Africa","2026-09-14"
"BEL27","Ghent University","Universiteit Gent","trusted","website","active","og:site_name: Universiteit Gent","2026-09-14"
"BEL28","Collibri Foundation","Colruyt Group Foundation","trusted","website","active","redirects to colruytgroupfoundation.org; title: Colruyt Group Foundation","2026-09-14"
"BEL29","Province of West Flanders, Belgium","Province of West Flanders","trusted","registry-rule:comma","active","","2026-09-14"
"BEL31","Agence Wallonne de l'Air et Climat, Belgium","Agence Wallonne de l'Air et Climat","trusted","registry-rule:comma","active","","2026-09-14"
"BEL31","Agence Wallonne de l'Air et Climat, Belgium","AWAC","trusted","website","active","title: Accueil - AWAC; og:site_name: AWAC","2026-09-14"
"BEL32","Wallonie-Bruxelles International","WBI","trusted","website","active","title: Wallonie-Bruxelles International (WBI)","2026-09-14"
"BEL33","Province of Antwerp, Belgium","Province of Antwerp","trusted","registry-rule:comma","active","","2026-09-14"
"BEL33","Province of Antwerp, Belgium","Provincie Antwerpen","trusted","website","active","title: Provincie Antwerpen","2026-09-14"
"BEL4","Flanders Research Institute for Agriculture, Fisheries and Food","ILVO","trusted","website","active","og:site_name: ILVO (English); title: ILVO Vlaanderen","2026-09-14"
"BEL5","University of Liege","ULiège","trusted","website","active","title: ULiège","2026-09-14"
"BEL6","Belgian Development Agency","Belgian Agency for International Cooperation","trusted","website","active","og:site_name","2026-09-14"
"BEL6","Belgian Development Agency","Enabel","trusted","website","active","title: Enabel - Belgian agency for international cooperation (renamed)","2026-09-14"
"BEL8","Veterinaires Sans Frontieres Belgique","VSF","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BEL9","CO2 Logic","CO2logic","trusted","website","active","title: Your climate journey begins here with CO2logic","2026-09-14"
"BEN3","University of Abomey-Calavi","UAC","trusted","website","active","redirects to uac.bj","2026-09-14"
"BEN3","University of Abomey-Calavi","Université d'Abomey-Calavi","trusted","website","active","uac.bj title and og:site_name: UNIVERSITE D'ABOMEY CALAVI","2026-09-14"
"BEN4","National Center of Management of Fauna Reserves, Benin","National Center of Management of Fauna Reserves","trusted","registry-rule:comma","active","","2026-09-14"
"BF1","Ministry of Agriculture and Irrigation Development, Burkina Faso","MAERAH","trusted","website","active","agriculture.bf title ends (MAERAH)","2026-09-14"
"BF1","Ministry of Agriculture and Irrigation Development, Burkina Faso","Ministère de l'Agriculture, de l'Eau, des Ressources Animales et Halieutiques","trusted","website","active","agriculture.bf title - the ministry's current name","2026-09-14"
"BF1","Ministry of Agriculture and Irrigation Development, Burkina Faso","Ministry of Agriculture and Irrigation Development","trusted","registry-rule:comma","active","","2026-09-14"
"BF10","National Agency for the Promotion of Research and Innovations, Burkina Faso","National Agency for the Promotion of Research and Innovations","trusted","registry-rule:comma","active","","2026-09-14"
"BF108","National Meteorological Agency, Burkina Faso","National Meteorological Agency","candidate","registry-rule:comma","active","","2026-09-14"
"BF114","Association of Mango Professionals of Burkina Faso","APROMA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF116","Technical Secretariat for Apiculture, Ministry of Animal and Fishing Resources, Burkina Faso","Technical Secretariat for Apiculture, Ministry of Animal and Fishing Resources","trusted","registry-rule:comma","active","","2026-09-14"
"BF124","Urban Economic Development Agency, Burkina Faso","Urban Economic Development Agency","trusted","registry-rule:comma","active","","2026-09-14"
"BF127","Union des Cooperatives de Productrices de Produits Karite du Houet","UCPPK","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF131","UNION Sowdjoma","CAS","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF131","UNION Sowdjoma","SPBK","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF131","UNION Sowdjoma","USCOOP","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF132","L’Union des Groupements Féminins Ce Dwane Nyee","CDN","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF132","L’Union des Groupements Féminins Ce Dwane Nyee","UGF","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF14","University of Aube Nouvelle","AUBEN","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF14","University of Aube Nouvelle","Université Aube Nouvelle","trusted","website","active","title: Accueil - Université Aube Nouvelle","2026-09-14"
"BF15","University Unit in Bobo-Dioulasso","UCAO","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF15","University Unit in Bobo-Dioulasso","UUB","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF152","The Guardian Angels of Nature","Guardian Angels of Nature","trusted","registry-rule:the","active","","2026-09-14"
"BF154","Commune de Po, Burkina Faso","Commune de Po","trusted","registry-rule:comma","active","","2026-09-14"
"BF155","Commune de Guiaro, Burkina Faso","Commune de Guiaro","trusted","registry-rule:comma","active","","2026-09-14"
"BF16","Free University of Burkina","Université Libre du Burkina","trusted","website","active","directory page title: Université Libre du Burkina (ULB)","2026-09-14"
"BF17","Centre Agricole Polyvalent de Matourkou","CAP","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF19","Permanent Secretariat of the Coordination Unit for Agricultural Sector Policies, Burkina Faso","CPSA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF19","Permanent Secretariat of the Coordination Unit for Agricultural Sector Policies, Burkina Faso","Permanent Secretariat of the Coordination Unit for Agricultural Sector Policies","trusted","registry-rule:comma","active","","2026-09-14"
