"actor_code","actor_name","url","final_url","status","title","site_name","heading","formerly","lang","fetched_at"
"AGO1","Agronomic Research Institute of Angola","https://ciencia.ao/sistema-nacional-de-ciencia/instituicoes-de-investigacao-cientifica-e-desenvolvimento/77-instituto-de-investigacao-agronomica","https://ciencia.ao/sistema-nacional-de-ciencia/instituicoes-de-investigacao-cientifica-e-desenvolvimento/77-instituto-de-investigacao-agronomica","404","Página não encontrada – Página Inicial","","PNCI – 2026 – Divulgação dos Resultados da Triagem das Candidaturas à 3ª Edição do Prémio Nacional de Ciência e Inovação","","pt-PT","2026-09-14 12:35"
"AUS1","Department of Foreign Affairs and Trade, Australia","https://www.dfat.gov.au/","https://www.dfat.gov.au/","200","Homepage | Australian Government Department of Foreign Affairs and Trade","Australian Government Department of Foreign Affairs and Trade","","","en","2026-09-14 12:35"
"AUS2","Australian Center for International Agriculture Research","https://www.aciar.gov.au/","https://www.aciar.gov.au/","403","Just a moment...","","","","en-US","2026-09-14 12:35"
"AUS3","Australian National University","https://www.anu.edu.au/","https://www.anu.edu.au/","200","The Australian National University","Australian National University","About ANU","","en","2026-09-14 12:35"
"AUS4","Commonwealth Scientific and Industrial Research","https://www.csiro.au/en/","https://www.csiro.au/en/","200","Commonwealth Scientific and Industrial Research Organisation, Australian Government - CSIRO","","","","en","2026-09-14 12:35"
"AUS5","University of Queensland Australia","https://www.uq.edu.au/","https://www.uq.edu.au/","200","The University of Queensland","The University of Queensland","Make UQ your first preference","","en","2026-09-14 12:36"
"AUT1","University of Vienna","https://www.univie.ac.at/","https://www.univie.ac.at/","200","Universität Wien – Studieren, Forschen, Leben in Wien","Universität Wien","Universität Wien","","de-AT","2026-09-14 12:36"
"AUT2","Austrian Development Cooperation","https://www.entwicklung.at/en/","https://www.entwicklung.at/en/","200","Home | Austrian Development Agency - Austrian Development Agency","","","","de","2026-09-14 12:36"
"AUT3","Austrian Development Agency","https://www.entwicklung.at/en/projects","https://www.entwicklung.at/en/projects","404","Seite nicht gefunden - Austrian Development Agency","","","","de","2026-09-14 12:36"
"AUT4","Nourivit Technologies","https://nourivit.com/","https://valibiotics.com/","200","Start - Valibiotics","Valibiotics","Start","","de-DE","2026-09-14 12:36"
"AUT5","Adventist Development and Relief Agency Austria","https://adra.agency/","https://adra.agency/","403","403 Forbidden","","403","","","2026-09-14 12:36"
"AUT6","Hope '87 - Hundreds of Original Projects for Employment","https://www.hope87.org/","https://www.hope87.at/","200","HOPE '87 – Hundreds of Original Projects for Employment","","Hundreds of Original Projectsfor Employment","","en-US","2026-09-14 12:36"
"AUT7","City of Vienna, Austria","https://www.wien.gv.at/english/","https://www.wien.gv.at/en/","200","City of Vienna - Information and services of the City of Vienna","English","Hiking paths","","en","2026-09-14 12:36"
"BDI1","Institut des Sciences Agronomiques du Burundi","https://isabu.bi/","https://isabu.bi/","200","ISABU – Institut des Sciences Agronomiques du Burundi","","ISABU","","fr-FR","2026-09-14 12:36"
"BEL1","Direction Générale de la Coopération au Développement Belge","https://openaid.be/fr","https://openaid.be/fr","200","Home | Openaid","","Openaid","","fr","2026-09-14 12:36"
"BEL2","Rikolto","https://www.rikolto.org/","https://www.rikolto.org/","200","Rikolto | Sustainable food systems","","A sustainable income for farmers and nutritious, affordable food for everyone.","","","2026-09-14 12:36"
"BEL3","Acccess Agriculture","https://www.accessagriculture.org/","https://www.accessagriculture.org/","200","Access Agriculture","","Watch videos in your own language!","","en","2026-09-14 12:36"
"BEL4","Flanders Research Institute for Agriculture, Fisheries and Food","https://ilvo.vlaanderen.be/en/","https://ilvo.vlaanderen.be/en/","200","Flanders Research Institute for Agriculture, Fisheries and Food - ILVO Vlaanderen","ILVO (English)","Flanders Research Institute for Agriculture, Fisheries and Food","","en","2026-09-14 12:36"
"BEL5","University of Liege","https://www.uliege.be/cms/c_8699436/fr/uliege","https://www.uliege.be/cms/c_8699436/fr/uliege","200","ULiège","","","","fr","2026-09-14 12:36"
"BEL6","Belgian Development Agency","https://www.enabel.be/","https://www.enabel.be/","200","Enabel - Belgian agency for international cooperation |","Enabel - Belgian Agency for International Cooperation","For a sustainable world where all live under the rule of law and are free to thrive.","","en-US","2026-09-14 12:36"
"BEL7","Sciensano","https://www.sciensano.be/fr","https://www.sciensano.be/fr","200","Homepage | sciensano.be","","","","fr","2026-09-14 12:36"
"BEL8","Veterinaires Sans Frontieres Belgique","https://veterinairessansfrontieres.be/","","no response","","","","","","2026-09-14 12:36"
"BEL9","CO2 Logic","https://www.co2logic.com/en","https://www.co2logic.com/en","200","Your climate journey begins here with CO2logic","South Pole","Embark on your climate journey with CO2logic","","en","2026-09-14 12:37"
"BEL10","Université Catholique de Louvain","https://uclouvain.be/fr/index.html","https://uclouvain.be/fr","200","Université catholique de Louvain | Université catholique de Louvain","Université catholique de Louvain","","","fr","2026-09-14 12:37"
"BEL11","Académie de Recherche et d’Enseignement Supérieur","https://www.ares-ac.be/fr/","https://www.ares-ac.be/fr","200","Accueil | ARES","","La fédération des établissements d'enseignement supérieur","","fr","2026-09-14 12:37"
"BEL12","Free University of Brussels","https://www.ulb.be/","https://www.ulb.be/","200","ULB - UNIVERSITÉ LIBRE DE BRUXELLES - ULB","ULB","ULB - UNIVERSITÉ LIBRE DE BRUXELLES","","fr","2026-09-14 12:37"
"BEL13","University of Mons","https://web.umons.ac.be/fr/","https://web.umons.ac.be/fr/","200","Accueil - Université de Mons","Université de Mons","Tu souhaites t'inscrire à l'UMONS ?","","fr-FR","2026-09-14 12:37"
"BEL14","Solidagro","https://www.solidagro.be/fr/","https://www.solidagro.be/fr/","200","Tu cherches plus d'informations ou de liens autour de l'alimentation durable ? Alors tu es au bon endroit ! - Solidagro","","Connexion autour de l'alimentation durable","","fr","2026-09-14 12:37"
"BEL15","Viva Salud","https://www.vivasalud.be/en/","https://www.vivasalud.be/en/","200","Viva Salud","Viva Salud","","","en-GB","2026-09-14 12:37"
"BEL16","Defi Belgique Afrique","https://ongdba.org/","https://ongdba.org/","200","Défi Belgique Afrique | Éducation à la Citoyenneté, séjours d'immersions et agriculture familiale","Défi Belgique Afrique","Les Journées Portes Ouvertes","","fr-FR","2026-09-14 12:37"
"BEL17","Red Cross Belgium","https://www.croix-rouge.be/","https://croix-rouge.be/fr","200","Préparer, secourir, accompagner. Agissons ensemble | Croix-Rouge de Belgique","","Préparer. Secourir. Accompagner.","","fr","2026-09-14 12:37"
"BEL19","University of Namur","https://www.unamur.be/","https://www.unamur.be/fr","200","Université de Namur","UNamur","Bienvenue à l'Université de Namur","","fr","2026-09-14 12:38"
"BEL20","SOS Faim","https://www.sosfaim.be/en/homepage/","https://www.humundi.org/","200","Humundi, anciennement SOS Faim : Pour un monde plus juste","Humundi","SOS Faim devient HUMUNDI","","fr-FR","2026-09-14 12:38"
"BEL21","Trias Worldwide","https://worldwide.trias.ngo/en/","https://worldwide.trias.ngo/en/","200","Trias - Turning dreams into opportunities","Trias - Worldwide","Turning dreams into opportunities","","en-GB","2026-09-14 12:38"
"BEL22","Entrepreneurs for Entrepreneurs","https://www.entrepreneurspourentrepreneurs.be/en/home","https://www.entrepreneurspourentrepreneurs.be/en/home","200","OVO strengthens entrepreneurship in Africa","","OVO strengthens entrepreneurship in Africa","","en","2026-09-14 12:38"
"BEL23","Fairtrade Belgium","https://www.fairtradebelgium.be/","https://www.fairtrade.net/be-nl.html","200","Fairtrade Belgium","","Hoofdnavigatie","","nl","2026-09-14 12:38"
"BEL24","Puratos","https://www.puratos.com/","https://www.puratos.com/","200","Dedicated to bakers, pastry chefs and chocolatiers","","Our Commitments to You and to Future Generations","","en","2026-09-14 12:38"
"BEL25","Agro-Insight","https://www.agroinsight.com/who-we-are.php","https://www.agroinsight.com/who-we-are.php","200 no readable page","","","","","","2026-09-14 12:38"
"BEL26","Colruyt Group","https://www.colruytgroup.com/en","https://www.colruytgroup.com/en","200","Welcome | Colruyt Group","","About us","","en","2026-09-14 12:38"
"BEL27","Ghent University","https://www.ugent.be/en","https://www.ugent.be/en","200","Ghent University","Universiteit Gent","Ghent University is a top-ranking university founded in 1817.","","en","2026-09-14 12:38"
"BEL28","Collibri Foundation","https://www.collibrifoundation.org/en","https://colruytgroupfoundation.org/nl","200","Colruyt Group Foundation","","“Positieve verandering. Voor mensen. Door mensen.”","","nl","2026-09-14 12:38"
"BEL29","Province of West Flanders, Belgium","https://www.west-vlaanderen.be/","https://www.west-vlaanderen.be/","403","Just a moment...","","","","en-US","2026-09-14 12:38"
"BEL31","Agence Wallonne de l'Air et Climat, Belgium","https://awac.be/","https://awac.be/home.html","200","Accueil - AWAC","AWAC","","","fr","2026-09-14 12:38"
"BEL30","Belvas","https://www.belvas.co.uk/","https://www.belvas.co.uk/","200","Belvas organic, fairtrade Belgian chocolates and truffles","Belvas","","","","2026-09-14 12:38"
"BEL32","Wallonie-Bruxelles International","https://www.wbi.be/","https://www.wbi.be/fr","200","Accueil | Wallonie-Bruxelles International (WBI)","","Que cherchez-vous ?","","fr","2026-09-14 12:38"
"BEL33","Province of Antwerp, Belgium","https://www.provincieantwerpen.be/","https://www.provincieantwerpen.be/","200","Provincie Antwerpen","","Provincie Antwerpen","","nl","2026-09-14 12:38"
"BEL34","Incofin","https://incofin.com/","https://incofin.com/","200","Incofin","","Achieve returns that matter","","en-GB","2026-09-14 12:38"
"BEL35","La Via Campesina","https://viacampesina.org/en/","https://viacampesina.org/en/","200","Home | La Via Campesina","La Via Campesina - EN","Your donations help us remain autonomous!","","en-GB","2026-09-14 12:38"
"BEL36","Alterfin","https://en.alterfin.be/","https://www.alterfin.be/","200","Invest in People Worldwide | Alterfin | Humanity Investor","","EVERY SHARE IN ALTERFIN is A SHARE IN A HUMAN LIFE.","","en-BE","2026-09-14 12:38"
"BEL37","Free University of Brussels Cooperation","https://www.ulb-cooperation.org/fr/","","no response","","","","","","2026-09-14 12:38"
"BEN1","Mutual Agricultural Insurance of Benin","https://amab.bj","","no response","","","","","","2026-09-14 12:39"
"BEN2","National Institute of Agricultural Research of Benin","https://inrab.bj/","https://inrab.bj/","200","Accueil | INRAB","","","","fr","2026-09-14 12:40"
"BEN3","University of Abomey-Calavi","https://uac.bj/","https://www.uac.bj/","200","Home - UNIVERSITE D'ABOMEY CALAVI","UNIVERSITE D'ABOMEY CALAVI","Découvrez les étapes de la procédure d’inscription","","fr-FR","2026-09-14 12:40"
"BEN4","National Center of Management of Fauna Reserves, Benin","http://www.cenagref.org/","","no response","","","","","","2026-09-14 12:40"
"BF1","Ministry of Agriculture and Irrigation Development, Burkina Faso","https://www.agriculture.bf/","https://www.agriculture.bf/","200","Ministère de l'Agriculture, de l'Eau, des Ressources Animales et Halieutiques (MAERAH)","Ministère de l'Agriculture, de l'Eau, des Ressources Animales et Halieutiques (MAERAH)","","","fr-FR","2026-09-14 12:40"
"BF10","National Agency for the Promotion of Research and Innovations, Burkina Faso","https://www.anvredet.org.dz/qui-sommes-nous/#:~:text=l'Agence%20Nationale%20de%20Valorisation,survie%2C%20d'autre%20part.","https://anvredet.org.dz/qui-sommes-nous/","200","Qui sommes-nous? – anvredet","","Qui sommes-nous?","","fr-FR","2026-09-14 12:40"
"BF12","University of Joseph KI ZERBO","https://www.ujkz.bf/","","no response","","","","","","2026-09-14 12:40"
"BF13","University of Nazi Boni","https://www.univ-bobo.gov.bf/accueil","https://www.univ-bobo.gov.bf/accueil","404","Page not found at /accueil","","Page not found (404)","","en","2026-09-14 12:40"
"BF14","University of Aube Nouvelle","https://u-auben.com/","https://u-auben.com/","200","Accueil - Université Aube Nouvelle","Université Aube Nouvelle - Spes animae ancora est","","","fr-FR","2026-09-14 12:40"
"BF15","University Unit in Bobo-Dioulasso","https://ucao-uub.com/","https://ucao-uub.com/","200","Accueil - UCAO-UUB","UCAO-UUB","UCAO-UUB","","fr-FR","2026-09-14 12:40"
"BF16","Free University of Burkina","https://legrandfrere.bf/etablissement/universite-libre-du-burkina-ulb/","https://legrandfrere.africa/etablissement/ulb/","200","Université Libre du Burkina (ULB) - Le Grand Frère","Le Grand Frère","Université Libre du Burkina (ULB)","","fr-FR","2026-09-14 12:40"
"BF17","Centre Agricole Polyvalent de Matourkou","https://www.agriculture.bf/jcms/fra_8093/fr/cap-matourkou-unique-ecole-d-agriculture-du-ministere-en-charge-de-l-agriculture","https://www.agriculture.bf/jcms/fra_8093/fr/cap-matourkou-unique-ecole-d-agriculture-du-ministere-en-charge-de-l-agriculture","404","Page non trouvée – Ministère de l'Agriculture, de l'Eau, des Ressources Animales et Halieutiques (MAERAH)","","Page non trouvée","","fr-FR","2026-09-14 12:40"
"BF18","International Institute for Water and Environmental Engineering","https://www.2ie-edu.org/","https://www.2ie-edu.org/","403 no readable page","","","","","","2026-09-14 12:40"
"BF19","Permanent Secretariat of the Coordination Unit for Agricultural Sector Policies, Burkina Faso","https://www.memoireonline.com/12/12/6638/m_Mise-en-ligne-d-une-base-de-donnees-de-suivievaluation-Cas-de-la-SDR-Strategie-de-Developpeme3.html","","no response","","","","","","2026-09-14 12:40"
"BF2","Ministry for Animal Resources and Fisheries, Burkina Faso","https://www.mra.gov.bf/accueil","https://www.mra.gov.bf/accueil","200","Accueil - Ministère des Ressources Animales et Halieutiques","Ministère des Ressources Animales et Halieutiques","","","ab","2026-09-14 12:41"
"BF20","Secrétariat Permanent du Conseil National pour l'Environnement et le Développement Durable, Burkina Faso","https://www.unccd.int/resources/knowledge-sharing-system/secretariat-permanent-du-conseil-national-pour-lenvironnement-et","https://www.unccd.int/resources/knowledge-sharing-system/secretariat-permanent-du-conseil-national-pour-lenvironnement-et","200","Secrétariat Permanent du Conseil National pour l'Environnement et le Développement Durable (SP/CONEDD) | UNCCD","UNCCD","Secrétariat Permanent du Conseil National pour l'Environnement et le Développement Durable (SP/CONEDD)","","en","2026-09-14 12:41"
"BF21","National Bureau of Soils, Burkina Faso","https://ayeler.com/fr/content/fr/burkina-faso/ouagadougou/bureau-national-des-sols-bunasols-du-burkina-faso-si%C3%A8ge-social-%C3%A0","","no response","","","","","","2026-09-14 12:41"
"BF22","MARP Burkina Network","https://reseaumarpbf.net/","https://reseaumarpbf.net/","200","RESEAU MARP Burkina -","RESEAU MARP Burkina","RESEAU MARP Burkina","","fr-FR","2026-09-14 12:41"
"BF23","National Union of Cotton Producers of Burkina Faso","http://www.unpcb.org","","no response","","","","","","2026-09-14 12:41"
"BF24","National Chamber of Agriculture, Burkina Faso","https://cna-burkina.org/","https://cna-burkina.org/","200","Chambre Nationale d'Agriculture | Accueil","","","","fr","2026-09-14 12:42"
"BF25","Peasant Confederation of Burkina Faso","https://cpf-bf.org/","https://cpf-bf.org/","200","CPF - ACCUEIL","","","","en","2026-09-14 12:42"
"BF27","National Fund for Research and Innovation for Development, Burkina Faso","https://fonrid.com/en/home-2/","https://fonrid.com/en/home-2/","200 no readable page","","","","","","2026-09-14 12:42"
"BF28","General Directorate for Vegetable Productions, Burkina Faso","https://www.servicepublic.gov.bf/contact/direction-generale-de-la-production-vegetales","https://service-public.gov.bf/","200","Service Public — Burkina Faso","Service Public Burkina Faso","Vos démarches administratives,en un seul endroit.","","fr","2026-09-14 12:42"
"BF3","Environmental Institute and Agricultural Research","http://www.inera.bf/","","no response","","","","","","2026-09-14 12:42"
"BF30","National Federation of Naam Groups","http://fngnbf.org/fngn/index.php/presentation/les-activites.html","http://fngnbf.org/fngn/index.php/presentation/les-activites.html","200","les activités de la FNGN","","les activités de la FNGN","","fr-fr","2026-09-14 12:44"
"BF31","Association Nodde Nooto","https://www.noddenooto.org","https://www.noddenooto.org/","200","A2N NODDE NOOTO | A2N NODDE NOOTO","","","","en","2026-09-14 12:44"
"BF32","Government of Burkina Faso","https://www.gouvernement.gov.bf/accueil","https://gouvernement.gov.bf/","200","SIG – Service d'Information du Gouvernement du Burkina Faso","","","","fr-FR","2026-09-14 12:44"
"BF33","Ministry of Economy, Finance and Development, Burkina Faso","https://www.finances.gov.bf/accueil","https://www.finances.gov.bf/accueil","200","Accueil - Ministère des finances","Ministère des finances","","","ab","2026-09-14 12:44"
"BF34","Association for Sustainable Community Development","https://www.zbw.eu/econis-archiv/bitstream/11159/426452/1/EBP085555061_0.pdf","https://savearchive.zbw.eu/bitstream/11159/426452/1/EBP085555061_0.pdf","404","ZBW - Digitales Archiv: Invalid Identifier","","Invalid Identifier","","en","2026-09-14 12:44"
"BF35","Federation Citoyenne des Innitiatives pour le Developpement de l'Ex Canton de Toudou","https://www.zbw.eu/econis-archiv/bitstream/11159/426452/1/EBP085555061_0.pdf","https://savearchive.zbw.eu/bitstream/11159/426452/1/EBP085555061_0.pdf","404","ZBW - Digitales Archiv: Invalid Identifier","","Invalid Identifier","","en","2026-09-14 12:45"
"BF36","National Federation of Young Agricultural Professionals in Burkina Faso","https://www.zbw.eu/econis-archiv/bitstream/11159/426452/1/EBP085555061_0.pdf","https://savearchive.zbw.eu/bitstream/11159/426452/1/EBP085555061_0.pdf","404","ZBW - Digitales Archiv: Invalid Identifier","","Invalid Identifier","","en","2026-09-14 12:45"
"BF37","Reseau des Organisations Paysannes Syndicales Agricoles","https://www.zbw.eu/econis-archiv/bitstream/11159/426452/1/EBP085555061_0.pdf","https://savearchive.zbw.eu/bitstream/11159/426452/1/EBP085555061_0.pdf","404","ZBW - Digitales Archiv: Invalid Identifier","","Invalid Identifier","","en","2026-09-14 12:45"
"BF38","Inter Zone Association for Rural Development","https://aidmr.wordpress.com/","https://aidmr.wordpress.com/","200","L'AIDMR – L'Agroécologie par les paysans Burkinabé, pour les paysans Burkinabé","L'AIDMR","L'AIDMR","","fr-FR","2026-09-14 12:45"
"BF39","Cooperative for the Provision of Agricultural Service (Coobsa)","http://www.coobsa.org/","","no response","","","","","","2026-09-14 12:45"
"BF40","Permanent Secretariat for Integrated Water Resources Management, Burkina Faso","https://www.spgire.gov.bf/","https://www.spgire.gov.bf/","200","Accueil","","Mediathèque","","fr-fr","2026-09-14 12:45"
"BF41","Office National de l'Eau et l'Assainissement, Burkina Faso","https://oneabf.com/","","no response","","","","","","2026-09-14 12:45"
"BF42","General Directorate of the Economy and Planning, Burkina Faso","https://www.dgep.gov.bf/","","no response","","","","","","2026-09-14 12:45"
"BF43","Action for the Promotion of Entrepreneurship and Irrigation Systems","http://www.apesibf.org/about/","http://www.apesibf.org/about/","404","Page non trouvée – Action pour la Promotion de l’Entrepreneuriat et des Systèmes d’Irrigations","","404","","fr-FR","2026-09-14 12:46"
"BF44","Direction Generale des Amenagement Hydrauliques et du Developpement de l'Irrigation, Burkina Faso","https://www.agriculture.gov.bf/le-ministere/les-structures/details?tx_news_pi1%5Baction%5D=detailand tx_news_pi1%5Bcontroller%5D=Newsand tx_news_pi1%5Bnews%5D=40and cHash=3db63831daba880846f3d0172e63dd82","","no response","","","","","","2026-09-14 12:46"
"BF45","Union of Groups for the Marketing of Agricultural Products of the Boucle du Mouhoun","https://ugcpabm.org/","","no response","","","","","","2026-09-14 12:46"
"BF46","Orange Burkina Faso","https://www.orange.bf","https://www.orange.bf/","200","Accueil | Orange Burkina Faso","Orange Burkina Faso","Que recherchez vous?","","fr","2026-09-14 12:46"
"BF49","Middle School Charles Lwanga de Nouna, Burkina Faso","https://www.educationcatholiquebf.org/index.php/component/k2/item/193-college-charles-lwanga","https://www.educationcatholiquebf.org/index.php/component/k2/item/193-college-charles-lwanga","200","Collège Charles Lwanga","","","","fr-fr","2026-09-14 12:46"
"BF50","Projet de Production International Burkina Faso","https://www.ppi-industriel.com/","https://www.ppi-industriel.com/","200","PPI Industriel | Énergie, Eau & Groupes Électrogènes en Afrique","PPI Industriel","PPI Industriel - Installation d'infrastructures en eau et en énergie","","fr-FR","2026-09-14 12:46"
"BF52","Association for the Development of Yaongo Village, Burkina Faso","https://www.advy.org/","https://www.advy.org/","200","A.D.V.Y Association pour le Développement du Village de Yaongo au Burkina Faso","A.D.V.Y","Bienvenue sur le site de ADVY","","fr-FR","2026-09-14 12:46"
"BF53","Association Beo-Neere Agroecologie","https://beoneere-agroecologie.bf/","https://beoneere-agroecologie.bf/","200","Accueil - Association Beo-Neere Agroécologie","Association Beo-Neere Agroécologie - Avenir meilleur !","Association Beo-Neere Agroécologie - Avenir meilleur !","","fr-FR","2026-09-14 12:46"
"BF54","Association pour la Protection de l'Environement et le Developpement Rural","https://www.adaa-ase.com/apedr.php","https://www.adaa-ase.com/apedr.php","200","association APEDR","","","","fr","2026-09-14 12:46"
"BF57","Africa's Sustainable Development Council","https://www.iucn.org/our-union/members/iucn-members/africas-sustainable-development-council","https://iucn.org/our-union/members/iucn-members/africas-sustainable-development-council","200","Africa's Sustainable Development Council | IUCN","IUCN","Africa's Sustainable Development Council","","en","2026-09-14 12:46"
"BF58","Ministry of Environment, Green Economy and Climate Change, Burkina Faso","https://www.environnement.gov.bf/accueil","https://www.environnement.gov.bf/accueil","200","Accueil - Ministère de l'Environnement, de l'Eau et de l'Assainissement","Ministère de l'Environnement, de l'Eau et de l'Assainissement","","","ab","2026-09-14 12:46"
"BF59","Friends of Nature Foundation","https://naturama.bf/","https://naturama.bf/","200","Accueil - NATURAMA","NATURAMA - Agir ensemble pour la nature et les Hommes","NATURAMA","","fr-FR","2026-09-14 12:46"
"BF60","Association pour la Promotion des Oeuvres Sociales","https://iucn.org/our-union/members/iucn-members/association-pour-la-promotion-des-oeuvres-sociales","https://iucn.org/our-union/members/iucn-members/association-pour-la-promotion-des-oeuvres-sociales","200","Association pour la Promotion des Oeuvres Sociales | IUCN","IUCN","Association pour la Promotion des Oeuvres Sociales","","en","2026-09-14 12:46"
"BF61","Environment Intervention Fund","https://www.fie-burkina.org/","https://fie-burkina.org/","200","Accueil FIE - FIE","FIE","VULGARISATION DES ACTIONS ENVIRONNEMENTALES ET CLIMATIQUES","","fr-FR","2026-09-14 12:46"
"BF65","National Union of Rice Producers of Burkina","https://www.abcburkina.net/fr/nos-dossiers/vu-au-sud-vu-du-sud/183-163-lunion-nationale-des-producteurs-de-riz-du-burkina-faso-est-nunpr-b","https://www.abcburkina.net/fr/nos-dossiers/vu-au-sud-vu-du-sud/183-163-lunion-nationale-des-producteurs-de-riz-du-burkina-faso-est-nunpr-b","200","abcBurkina - 163) L’Union Nationale des Producteurs de Riz du Burkina Faso est née…(UNPR-B)","","Vu au Sud - Vu du Sud","","fr-fr","2026-09-14 12:46"
"BF66","Association de la Gestion des Ressources Naturelles et de la Faune de la Comoé-Leraba","https://agerefcl.org/","https://agerefcl.org/","200","AGEREF COMOE - LERABA","","","","en","2026-09-14 12:46"
"BF67","Catholic Organisation for Development and Solidarity","https://ocadesburkina.org/","https://ocadesburkina.org/","200","Ocades Caritas Burkina - Ocades Caritas Burkina","Ocades Caritas Burkina","","","fr-FR","2026-09-14 12:46"
"BF68","Plateforme d'Action a la Securisation des Menages Pastoraux","https://pasmep.org/","https://pasmep.org/","200","PASMEP - Accueil","","","","fr-fr","2026-09-14 12:47"
"BF69","Direction Generale de l'Assainissement, Burkina Faso","https://www.servicepublic.gov.bf/contact/direction-generale-de-lassainissement","https://service-public.gov.bf/","200","Service Public — Burkina Faso","Service Public Burkina Faso","Vos démarches administratives,en un seul endroit.","","fr","2026-09-14 12:47"
"BF7","Ministry of Water and Sanitation, Burkina Faso","https://www.environnement.gov.bf/accueil","https://www.environnement.gov.bf/accueil","200","Accueil - Ministère de l'Environnement, de l'Eau et de l'Assainissement","Ministère de l'Environnement, de l'Eau et de l'Assainissement","","","ab","2026-09-14 12:47"
"BF70","National Land Observatory, Burkina Faso","https://landportal.org/node/61859","https://landportal.org/project/2017/10/national-land-observatory-pilot-burkina-faso","200","National Land Observatory Pilot: Burkina Faso | Land Portal","Land Portal","National Land Observatory Pilot: Burkina Faso","","en","2026-09-14 12:47"
"BF74","Union Nationale des Sociétés Coopératives d'Etuvage de Riz du Burkina Faso","https://uneriz-bf.org/","https://uneriz-bf.org/","200","UNERIZ - Accueil","","","","fr","2026-09-14 12:47"
