"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth","qc_flag"
"1","P001","","","Cote d'Ivoire","Cote d'Ivoire","land use","Restoration Opportunities Assessment Methodologies (ROAM); landscapes restoration under SLWM","Week-long Restoration Opportunities Assessment Methodologies (ROAM) workshop held in Cote d'Ivoire in 2017/2018 in partnership with IUCN","ROAM is a decision and planning support tool for which guidance has been in high demand following the emergence of the Forest Landscapes Restoration agenda and restoration commitments (Bonn Challenge, AFR100)","","One of the 5 week-long ROAM Workshops held in Cote d'Ivoire, Kenya, Malawi, Niger and Uganda in 2017 and 2018","1","","ROAM workshop delivered","output","ICR desk review of project reports; feedback interviews with IUCN","2","activity deliverable - check result_level is process or output"
"2","P001","","","Kenya","Kenya","land use","Restoration Opportunities Assessment Methodologies (ROAM); landscapes restoration under SLWM","Week-long ROAM workshop held in Kenya in 2017/2018 in partnership with IUCN","ROAM is a decision and planning support tool for which guidance has been in high demand following the emergence of the Forest Landscapes Restoration agenda and restoration commitments (Bonn Challenge, AFR100)","","One of the 5 week-long ROAM Workshops held in Cote d'Ivoire, Kenya, Malawi, Niger and Uganda in 2017 and 2018","1","","ROAM workshop delivered","output","ICR desk review of project reports; feedback interviews with IUCN","2","activity deliverable - check result_level is process or output"
"3","P001","","","Malawi","Malawi","land use","Restoration Opportunities Assessment Methodologies (ROAM); landscapes restoration under SLWM","Week-long ROAM workshop held in Malawi in 2017/2018 in partnership with IUCN","ROAM is a decision and planning support tool for which guidance has been in high demand following the emergence of the Forest Landscapes Restoration agenda and restoration commitments (Bonn Challenge, AFR100)","","One of the 5 week-long ROAM Workshops held in Cote d'Ivoire, Kenya, Malawi, Niger and Uganda in 2017 and 2018","1","","ROAM workshop delivered","output","ICR desk review of project reports; feedback interviews with IUCN","2","activity deliverable - check result_level is process or output"
"4","P001","","","Niger","Niger","land use","Restoration Opportunities Assessment Methodologies (ROAM); landscapes restoration under SLWM","Week-long ROAM workshop held in Niger in 2017/2018 in partnership with IUCN","ROAM is a decision and planning support tool for which guidance has been in high demand following the emergence of the Forest Landscapes Restoration agenda and restoration commitments (Bonn Challenge, AFR100)","","One of the 5 week-long ROAM Workshops held in Cote d'Ivoire, Kenya, Malawi, Niger and Uganda in 2017 and 2018","1","","ROAM workshop delivered","output","ICR desk review of project reports; feedback interviews with IUCN","2","activity deliverable - check result_level is process or output"
"5","P001","","","Uganda","Uganda","land use","Restoration Opportunities Assessment Methodologies (ROAM); landscapes restoration under SLWM","Week-long ROAM workshop held in Uganda in 2017/2018 in partnership with IUCN; ROAM and CSIF workshops found very useful by the SLWM coordinator","ROAM is a decision and planning support tool for which guidance has been in high demand following the emergence of the Forest Landscapes Restoration agenda and restoration commitments (Bonn Challenge, AFR100)","","Training was used by those who attended to train middle-level officers, who in turn trained zone-level community-based officers, cascading the benefits of the workshop down to ground level","","","","outcome","ICR key informant interview with Uganda SLWM coordinator","2",""
"6","P001","","","Uganda","Uganda","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Uganda on its SLWM Country Strategic Investment Framework; experts deployed for CSIF development/implementation in 2017 and 2018","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Uganda among 15 countries supported on CSIF; Review of the Uganda Strategic Investment Framework for Sustainable Land Management completed (January 2018)","1","","CSIF review completed","output","ICR desk review of completion reports; country stakeholder interview","2",""
"7","P001","","","Ghana","Ghana","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Ghana on its SLWM CSIF; consultants/experts hired in 2017 and 2018; CSIF validation workshop supported","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","CSIF validation workshop for Ghana supported","1","","CSIF validation workshop","output","ICR desk review of project completion reports","2","activity deliverable - check result_level is process or output"
"8","P001","","","Ghana","Ghana","land use","use of bamboo for land management/restoration","Study of the use of bamboo for restoration in Ghana developed and disseminated as a knowledge product","meet country demand for knowledge and best practice tools to improve land management and climate resilience while maintaining natural capital","","Study of the use of bamboo for restoration in Ghana produced, which contributed to a synthesis report on the use of bamboo in landscape restoration","1","","study/knowledge product","output","ICR desk review of project completion reports","2","activity deliverable - check result_level is process or output"
"9","P001","","","The Gambia","Gambia","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to The Gambia on its SLWM CSIF; consultants hired in 2015; CSIF validation workshop and launch of CSIF supported","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Supported launch of CSIF in The Gambia and CSIF validation workshop (The Gambia - validation)","","","","output","ICR desk review of project completion reports","2",""
"10","P001","","","Mali","Mali","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Mali on its SLWM Country Strategic Investment Framework development, implementation, or update","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Mali listed among the countries that received support under the project on their SLWM CSIF","","","","process","ICR desk review of results framework and completion reports","2",""
