project_code,value,metric_stated,metric,unit_stated,unit,page,note
P001,15,Countries supported in their SLM Country Investment Framework development/implementation/update,CANDIDATE: countries supported,Number,quantity,33,
P001,12,New knowledge and advocacy products disseminated at country level,CANDIDATE: knowledge products disseminated,Number,quantity,34,
P001,>1000,African participants in e-learning events,CANDIDATE: e-learning participants,participants,individuals,17,
P001,N,SLM Knowledge Platform at continental level up and running,CANDIDATE: knowledge platform operational,Yes/No,quantity,33,"yes/no milestone, not a quantity"
P002,4700000,beneficiaries reached by RFS,total beneficiaries,people,individuals,283,
P002,47,share of RFS beneficiaries who are women,women beneficiaries,%,percentage,283,
P002,350421,land restored,land restored,ha,hectares,283,
P002,350000,land restored,land restored,ha,hectares,44,"rounded restatement of 350,421"
P002,88.4,GHG emissions avoided,CANDIDATE: GHG emissions avoided,million mtCO2,tCO2e,283,
P002,88400000,GHG emissions avoided,CANDIDATE: GHG emissions avoided,mtCO2,tCO2e,283,same figure expanded
P002,476027,production landscapes under sustainable management,land under climate-smart practices,ha,hectares,283,
P002,478000,production landscapes under sustainable management,land under climate-smart practices,ha,hectares,44,"rounded restatement of 476,027"
P002,56707,terrestrial protected areas,terrestrial protected areas,ha,hectares,283,
P002,57000,terrestrial protected areas,terrestrial protected areas,ha,hectares,44,"rounded restatement of 56,707"
P002,613688,biodiversity landscapes,biodiversity landscapes conserved,ha,hectares,283,
P002,613000,biodiversity landscapes,biodiversity landscapes conserved,ha,hectares,44,"rounded restatement of 613,688"
P003,10496,beneficiaries of GGP Production,total beneficiaries,people,individuals,283,
P003,2829,beneficiaries in Liberia,total beneficiaries,people,individuals,283,"country share of the 10,496"
P003,37,share of GGP beneficiaries who are women,women beneficiaries,%,percentage,283,
P003,27505238,area under improved practices for biodiversity,biodiversity landscapes conserved,ha,hectares,283,
P003,28000000,area under improved practices for biodiversity,biodiversity landscapes conserved,ha,hectares,44,"rounded restatement of 27,505,238"
P003,129000000,GHG emissions avoided,CANDIDATE: GHG emissions avoided,mtCO2,tCO2e,283,
P003,140000000,,,,,,NOT LOCATED in a GGP results context - appears in a China project financing table; check gold
P003,488900000,commercial transactions mobilised,,USD,,283,"MONEY, not a project result - check gold"
P004,973000,coastal marine surface under protection,,ha,hectares,284,PLANNED figure (CFI PFD 2016); the evaluation reports no achievement - check gold
P004,119902,coastal protected area,,ha,hectares,284,"PLANNED figure, same block - check gold"
P004,393,women achieving better conditions of economic autonomy via UNICAs,women beneficiaries,women,individuals,245,
P004,26,,,,,,NOT LOCATED in a CFI results context - check gold
P005,6324,members in associations assisted by OGB in Southern Niassa,association members,members,individuals,6,
P005,30,,,,,,NOT LOCATED with confidence - check gold
P005,68,associations with women elected as leaders,CANDIDATE: associations with women leaders,%,percentage,14,
P006,120,pilot farmers trained in Farmer Field Schools,CANDIDATE: pilot farmers trained,farmers,individuals,59,
P006,10000,farmers who benefited from the project,smallholder farmers reached,farmers,individuals,28,
P006,24,share of pilot farmers who are women,women beneficiaries,%,percentage,26,
P007,85.7,farmers who attended 1 to 5 financial education programmes,CANDIDATE: farmers attending financial education,%,percentage,6,
P007,71.4,farmers agreeing the training improves risk management,CANDIDATE: farmers agreeing training improves,%,percentage,6,
P007,100,,,,,,NOT LOCATED - check gold
P007,43,farmers feeling confident managing agricultural risk,CANDIDATE: farmers confident managing risk,%,percentage,6,
P008,>10000,smallholder farmers participating in training sessions,smallholder farmers reached,individuals,individuals,15,
P008,20001,insurance policies sold by a respondent company,CANDIDATE: insurance policies sold,policies,quantity,12,
P008,48,overall crop insurance loss ratio,CANDIDATE: crop insurance loss ratio,%,percentage,13,
P008,93.3,respondents aware of agriculture insurance programmes,CANDIDATE: respondents aware of insurance,%,percentage,8,"evaluation KII sample, not a project result"
P009,11,"regional-level measures adopted (PDO indicator, target 6)",CANDIDATE: regional measures adopted,Number,quantity,51,indicator name truncated in the table
P009,379162,direct project beneficiaries,direct beneficiaries,Number,individuals,55,
P009,137920,unique beneficiaries across interventions,direct beneficiaries,people,individuals,58,"de-duplicated restatement of 379,162"
P009,165,,,,,,NOT LOCATED - check gold
P009,30,share of beneficiaries who are female,women beneficiaries,%,percentage,15,
P010,301,technologies made available to farmers and other end users,CANDIDATE: technologies made available,Number,quantity,35,
P010,4612946,direct project beneficiaries,direct beneficiaries,Number,individuals,37,
P010,4600000,direct project beneficiaries,direct beneficiaries,Number,individuals,37,"rounded restatement of 4,612,946"
P010,95,lead farmers aware of an improved technology promoted by the project,CANDIDATE: lead farmers aware of technology,Percentage,percentage,36,
P010,80,technologies released in another participating country,CANDIDATE: technologies released cross-country,Number,quantity,36,
P010,83,,,,,,NOT LOCATED with confidence - check gold
P010,40472,direct programme beneficiaries of which lead farmers,CANDIDATE: lead farmers reached,Number,individuals,37,
P010,175,technologies generated,CANDIDATE: technologies generated,Number,quantity,39,
P010,37,female beneficiaries,women beneficiaries,Percentage,percentage,37,
