id,title,pdf_url,doc_date,doc_type,country,project_id,web_url,source_url,content_type,md5,family_id,family_year,status
AF.document.061MCLAR.n0000,Enhancing resilience to climate change of the small agriculture in the Chilean region of O'Higgins — Project document,https://cdn.climatepolicyradar.org/navigator/CHL/2015/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_871ab66bfb686260da221cb1cc80e9fe.pdf,2015-10-09T00:00:00Z,Project document,CHL,061MCLAR,https://climateprojectexplorer.org/document/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_606e,https://fifspubprd.azureedge.net/afdocuments/project/56/56_CHILE%20_OPG%20ANNEX%204-1%20Project%20Document_Proposal_Clean%20Version_Final%20oct16th%202015.pdf,application/pdf,871ab66bfb686260da221cb1cc80e9fe,AF.family.061MCLAR.0,2015,out_of_scope_geo
AF.document.061MCLAR.n0001,Enhancing resilience to climate change of the small agriculture in the Chilean region of O'Higgins — Project concept,https://cdn.climatepolicyradar.org/navigator/CHL/2015/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_ff15be1732558a245ab765b77dc92325.pdf,2015-10-09T00:00:00Z,Project concept,CHL,061MCLAR,https://climateprojectexplorer.org/document/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_606e,https://fifspubprd.azureedge.net/afdocuments/project/56/56_CHILE%20_OPG%20ANNEX%204-1%20Project%20proposal%20-%20July%202014.pdf,application/pdf,ff15be1732558a245ab765b77dc92325,AF.family.061MCLAR.0,2015,out_of_scope_geo
AF.document.061MCLAR.n0002,Enhancing resilience to climate change of the small agriculture in the Chilean region of O'Higgins — Inception report,https://cdn.climatepolicyradar.org/navigator/CHL/2015/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_3428c412f6a43cc1394b714fe747a02a.pdf,2015-10-09T00:00:00Z,Inception report,CHL,061MCLAR,https://climateprojectexplorer.org/document/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_606e,https://fifspubprd.azureedge.net/afdocuments/project/56/56_Workshop%20report%20from%20AGCI.pdf,application/pdf,3428c412f6a43cc1394b714fe747a02a,AF.family.061MCLAR.0,2015,out_of_scope_geo
AF.document.061MCLAR.n0006,Enhancing resilience to climate change of the small agriculture in the Chilean region of O'Higgins — Mid-term evaluation report,https://cdn.climatepolicyradar.org/navigator/CHL/2015/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_1e745be13deddf262d2214e405f6e432.pdf,2015-10-09T00:00:00Z,Mid-term evaluation,CHL,061MCLAR,https://climateprojectexplorer.org/document/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_606e,https://fifspubprd.azureedge.net/afdocuments/project/56/56_Midterm%20Review.pdf,application/pdf,1e745be13deddf262d2214e405f6e432,AF.family.061MCLAR.0,2015,out_of_scope_geo
AF.document.061MCLAR.n0007,Enhancing resilience to climate change of the small agriculture in the Chilean region of O'Higgins — Final evaluation report,https://cdn.climatepolicyradar.org/navigator/CHL/2015/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_08b88efc870565c85ca8903e10afc86c.pdf,2015-10-09T00:00:00Z,Final evaluation,CHL,061MCLAR,https://climateprojectexplorer.org/document/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_606e,https://fifspubprd.azureedge.net/afdocuments/project/56/Report-%20Final%20Independent%20Evaluation_Chile.pdf,application/pdf,08b88efc870565c85ca8903e10afc86c,AF.family.061MCLAR.0,2015,out_of_scope_geo
AF.document.061MCLAR.n0008,Enhancing resilience to climate change of the small agriculture in the Chilean region of O'Higgins — Project completion report,https://cdn.climatepolicyradar.org/navigator/CHL/2015/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_3f80b7f6268507c423f398259766d9e8.pdf,2015-10-09T00:00:00Z,Completion report,CHL,061MCLAR,https://climateprojectexplorer.org/document/enhancing-resilience-to-climate-change-of-the-small-agriculture-in-the-chilean-region-of-o-higgins_606e,https://fifspubprd.azureedge.net/afdocuments/project/56/2023-08-07%20Final%20Project%20Completion%20Report.pdf,application/pdf,3f80b7f6268507c423f398259766d9e8,AF.family.061MCLAR.0,2015,out_of_scope_geo
AF.document.053MCUCR.n0000,Reduction of Vulnerability to Coastal Flooding through Ecosystem-based Adaptation in the South of Artemisa and Mayabeque Provinces — Project document,https://cdn.climatepolicyradar.org/navigator/CUB/2012/reduction-of-vulnerability-to-coastal-flooding-through-ecosystem-based-adaptation-in-the-south-of-artemisa-and-mayabeque-provinces_df99d68caa066812dd4959b3268ddf34.pdf,2012-12-14T00:00:00Z,Project document,CUB,053MCUCR,https://climateprojectexplorer.org/document/reduction-of-vulnerability-to-coastal-flooding-through-ecosystem-based-adaptation-in-the-south-of-artemisa-and-mayabeque-provinces_d4e6,https://fifspubprd.azureedge.net/afdocuments/project/59/59_Resubmission_5090_Cuba%20AF_12Nov2012.pdf,application/pdf,df99d68caa066812dd4959b3268ddf34,AF.family.053MCUCR.0,2012,out_of_scope_geo
AF.document.053MCUCR.n0003,Reduction of Vulnerability to Coastal Flooding through Ecosystem-based Adaptation in the South of Artemisa and Mayabeque Provinces — Mid-term evaluation report,https://cdn.climatepolicyradar.org/navigator/CUB/2012/reduction-of-vulnerability-to-coastal-flooding-through-ecosystem-based-adaptation-in-the-south-of-artemisa-and-mayabeque-provinces_49a87147c5ff648d3e763a67dae5cdb8.pdf,2012-12-14T00:00:00Z,Mid-term evaluation,CUB,053MCUCR,https://climateprojectexplorer.org/document/reduction-of-vulnerability-to-coastal-flooding-through-ecosystem-based-adaptation-in-the-south-of-artemisa-and-mayabeque-provinces_d4e6,https://fifspubprd.azureedge.net/afdocuments/project/59/59_PIMS%205090%20Cuba%20AF%20Mangroves%20Midterm%20Evaluation%20Report%2018-01-2018.pdf,application/pdf,49a87147c5ff648d3e763a67dae5cdb8,AF.family.053MCUCR.0,2012,out_of_scope_geo
AF.document.053MCUCR.n0007,Reduction of Vulnerability to Coastal Flooding through Ecosystem-based Adaptation in the South of Artemisa and Mayabeque Provinces — Final evaluation report,https://cdn.climatepolicyradar.org/navigator/CUB/2012/reduction-of-vulnerability-to-coastal-flooding-through-ecosystem-based-adaptation-in-the-south-of-artemisa-and-mayabeque-provinces_9658d0d09b0371556d42c8413904c810.pdf,2012-12-14T00:00:00Z,Final evaluation,CUB,053MCUCR,https://climateprojectexplorer.org/document/reduction-of-vulnerability-to-coastal-flooding-through-ecosystem-based-adaptation-in-the-south-of-artemisa-and-mayabeque-provinces_d4e6,https://fifspubprd.azureedge.net/afdocuments/project/59/59_PIMS%205090%20Cuba%20AF%20TE%20Manglar%20Vivo%20-%20Final%20Evaluation%20Report%20_Sept%209%202020__.pdf,application/pdf,9658d0d09b0371556d42c8413904c810,AF.family.053MCUCR.0,2012,out_of_scope_geo
AF.document.017MERRR.n0000,"Climate Change Adaptation Programme In Water and Agriculture In Anseba Region, Eritrea — Project document",https://cdn.climatepolicyradar.org/navigator/ERI/2011/climate-change-adaptation-programme-in-water-and-agriculture-in-anseba-region-eritrea_79dd4235aed58a89cf7b9fc15b842749.pdf,2011-03-18T00:00:00Z,Project document,ERI,017MERRR,https://climateprojectexplorer.org/document/climate-change-adaptation-programme-in-water-and-agriculture-in-anseba-region-eritrea_797d,https://fifspubprd.azureedge.net/afdocuments/project/5/5_Final%20proposal.pdf,application/pdf,79dd4235aed58a89cf7b9fc15b842749,AF.family.017MERRR.0,2011,parked
