id,title,pdf_url,doc_date,doc_type,country,project_id,web_url,listing,year,project_name
African_Continent_-_Harmonization_of_African_Standards_for_Agriculture_and_Food_Products_-_PCR,African Continent - Harmonization of African Standards for Agriculture and Food Products - PCR,https://www.afdb.org/sites/default/files/documents/projects-and-operations/aftra_pcr_arso_august_2018_eng_kk-amb_final_.pdf,2019-07-17,PCR,NA,NA,https://www.afdb.org/en/documents/african-continent-harmonization-african-standards-agriculture-and-food-products-pcr,Project Completion Reports,2019,African Continent - Harmonization of African Standards for Agriculture and Food Products
Angola_-_Bom_Jesus-Calenga_Smallholder_Agricultural_Development_Project_-_Project_Completion_Report,Angola - Bom Jesus-Calenga Smallholder Agricultural Development Project - Project Completion Report,https://www.afdb.org/sites/default/files/documents/projects-and-operations/angola_-_bom_jesus-calenga_smallholder_agricultural_development_project_-_project_completion_report.pdf,2020-01-17,PCR,Angola,NA,https://www.afdb.org/en/documents/angola-bom-jesus-calenga-smallholder-agricultural-development-project-project-completion-report,Project Completion Reports,2020,Angola - Bom Jesus-Calenga Smallholder Agricultural Development Project - Project Completion Report
Angola_-_Emergency_Food_and_Nutrition_Security_for_Children_in_BIE_Region_-_Project_Completion_Report,Angola - Emergency Food and Nutrition Security for Children in BIE Region - Project Completion Report,https://www.afdb.org/sites/default/files/documents/projects-and-operations/angola_-_emergency_food_and_nutrition_security_for_children_in_bie_region_-_project_completion_report.pdf,2023-02-06,PCR,Angola,P-AO-AA0-010,https://www.afdb.org/en/documents/angola-emergency-food-and-nutrition-security-children-bie-region-project-completion-report,Project Completion Reports,2023,Angola - Emergency Food and Nutrition Security for Children in BIE Region - Project Completion Report
Angola_-_Fisheries_Sector_Support_Project_-_Project_Completion_Report,Angola - Fisheries Sector Support Project - Project Completion Report,https://www.afdb.org/sites/default/files/documents/projects-and-operations/-angola_-_fisheries_sector_support_project_-_project_completion_report.pdf,2024-12-13,PCR,Angola,P-AO-AAF-002,https://www.afdb.org/en/documents/angola-fisheries-sector-support-project-project-completion-report,Project Completion Reports,2024,Angola - Fisheries Sector Support Project - Project Completion Report
Attribution_de_Marches_-_Guinee_-_Acquisition_des_equipements_de_transformations_des_produits_agricoles_-_Lola-N_Zoo,Attribution de Marchés - Guinée - Acquisition des équipements de transformations des produits agricoles - Lola-N'Zoo,https://www.afdb.org/sites/default/files/documents/project-related-procurement/207_lola_nzoo_attribution_eqmts_agricoles_lola_obs_bad_082023_002.pdf,2023-08-11,NA,NA,P-Z1-DB0-162,https://www.afdb.org/en/documents/attribution-de-marches-guinee-acquisition-des-equipements-de-transformations-des-produits-agricoles-lola-nzoo,Project Completion Reports,2023,Attribution de Marchés - Guinée - Acquisition des équipements de transformations des produits agricoles - Lola-N'Zoo
Benin_-_Project_to_Support_Food_Production_and_Build_Resilience_in_Alibori_Borgou_and_Collines_Departments_PAPVIRE-A_-_P,"Benin - Project to Support Food Production and Build Resilience in Alibori, Borgou and Collines Departments (PAPVIRE-A) - Project Completion Report",https://www.afdb.org/sites/default/files/documents/projects-and-operations/benin_-_project_to_support_food_production_and_build_resilience_in_alibori_borgou_and_collines_departments_papvire-a_-_project_completion_report.pdf,2023-12-15,PCR,Benin,P-BJ-AA0-007,https://www.afdb.org/en/documents/benin-project-support-food-production-and-build-resilience-alibori-borgou-and-collines,Project Completion Reports,2023,"Benin - Project to Support Food Production and Build Resilience in Alibori, Borgou and Collines Departments (PAPVIRE-A) - Project Completion Report"
Benin_-_Projet_d_Appui_a_la_Production_Vivriere_et_au_Renforcement_Resilience_dans_les_Collines_de_Alibori_et_Borgou_PAP,Benin - Projet d’Appui à la Production Vivrière et au Renforcement Résilience dans les Collines de Alibori et Borgou (PAPVIRE-A) - Rapport d’achèvement de projet,https://www.afdb.org/sites/default/files/documents/projects-and-operations/benin_-_projet_appui_production_vivriere_et_renforcement_resilience_dans_alibori_borgou_collines_papvire-a_-_rapport_dachevement_de_projet_0.pdf,2025-06-18,PCR,Benin,P-BJ-AA0-007,https://www.afdb.org/en/documents/benin-projet-dappui-la-production-vivriere-et-au-renforcement-resilience-dans-les-collines-de-alibori-et-borgou-papvire-rapport-dachevement-de-projet,Project Completion Reports,2025,Benin - Projet d’Appui à la Production Vivrière et au Renforcement Résilience dans les Collines de Alibori et Borgou (PAPVIRE-A) - Rapport d’achèvement de projet
Burkina_Faso_-_Etudes_integrees_de_valorisation_du_barrage_souterrain_de_Nare_et_rehabilitation_des_infrastructures_conn,Burkina Faso - Etudes intégrées de valorisation du barrage souterrain de Naré et réhabilitation des infrastructures connexes (cas de résilience a la forte désertification et dégradation dans un contexte de changement climatique dans le sahel) – RAP,https://www.afdb.org/sites/default/files/documents/projects-and-operations/burkina_faso_-_etudes_integrees_de_valorisation_du_barrage_souterrain_de_nare_et_rehabilitation_des_infrastructures_connexes_-_rapport_dachevement_de_projet_0.pdf,2022-03-01,NA,Burkina Faso,P-BF-EAZ-002,https://www.afdb.org/en/documents/burkina-faso-etudes-integrees-de-valorisation-du-barrage-souterrain-de-nare-et-rehabilitation-des-infrastructures-connexes-cas-de-resilience-la-forte-desertification-et-degradation-dans-un-contexte-de-changement-climatique-dans-le-sahel-rap-0,Project Completion Reports,2022,Burkina Faso - Etudes intégrées de valorisation du barrage souterrain de Naré et réhabilitation des infrastructures connexes (cas de résilience a la forte désertification et dégradation dans un contexte de changement climatique dans le sahel) – RAP
Burkina_Faso_-_Sub-Project_drainage_of_Ouagadougou_s_outlying_districts_SPAQPO_-_Project_Completion_Report,Burkina Faso - Sub-Project drainage of Ouagadougou’s outlying districts (SPAQPO) - Project Completion Report,https://www.afdb.org/sites/default/files/documents/projects-and-operations/burkina_faso_-_drainage_of_ouagadougous_outlying_districts_spaqpo_-_project_completion_report.pdf,2022-06-03,PCR,Burkina Faso,P-BF-EB0-001,https://www.afdb.org/en/documents/burkina-faso-sub-project-drainage-ouagadougous-outlying-districts-spaqpo-project-completion-report,Project Completion Reports,2022,Burkina Faso - Sub-Project drainage of Ouagadougou’s outlying districts (SPAQPO) - Project Completion Report
Burkina_Faso_-_Support_Project_for_Establishing_an_Agribusiness_Bank_PACBA_-_Project_Completion_Report,Burkina Faso - Support Project for Establishing an Agribusiness Bank (PACBA) – Project Completion Report,https://www.afdb.org/sites/default/files/documents/projects-and-operations/burkina_faso_-_pcr_-_support_project_for_establishing_an_agribusiness_bank_pacba.pdf,2024-05-06,PCR,Burkina Faso,P-BF-HAA-001,https://www.afdb.org/en/documents/burkina-faso-support-project-establishing-agribusiness-bank-pacba-project-completion-report,Project Completion Reports,2024,Burkina Faso - Support Project for Establishing an Agribusiness Bank (PACBA) – Project Completion Report
