id,title,pdf_url,doc_date,doc_type,country,project_id,web_url,status
fip-mexico-monitoring-and-evaluation-report-2016,FIP Mexico - Monitoring and Evaluation Report 2016,https://www.cif.org/sites/cif_enc/files/meeting-documents/mexico_fip_monitoring_and_reporting_2016.pdf,2016,Evaluation,Mexico,,https://www.cif.org/documents/fip-mexico-monitoring-and-evaluation-report-2016,out_of_scope_geo
fip-lao-pdr-monitoring-and-evaluation-report-2016,FIP Lao PDR - Monitoring and Evaluation Report 2016,https://www.cif.org/sites/cif_enc/files/meeting-documents/lao_pdr_fip_monitoring_report_2016.pdf,2016,Evaluation,Lao People's Democratic Republic,,https://www.cif.org/documents/fip-lao-pdr-monitoring-and-evaluation-report-2016,out_of_scope_geo
fip-drc-monitoring-and-evaluation-report-2016,FIP DRC - Monitoring and Evaluation Report 2016,https://www.cif.org/sites/cif_enc/files/meeting-documents/drc_fip_monitoring_and_reporting_2016.pdf,2016,Evaluation,Democratic Republic of Congo,,https://www.cif.org/documents/fip-drc-monitoring-and-evaluation-report-2016,kept
fip-burkina-faso-monitoring-and-evaluation-report-2016,FIP Burkina Faso - Monitoring and Evaluation Report 2016,https://www.cif.org/sites/cif_enc/files/meeting-documents/burkina_faso_fip_monitoring_and_reporting_2016.pdf,2016,Evaluation,Burkina Faso,,https://www.cif.org/documents/fip-burkina-faso-monitoring-and-evaluation-report-2016,kept
fip-brazil-monitoring-and-evaluation-report-2016,FIP Brazil - Monitoring and Evaluation Report 2016,https://www.cif.org/sites/cif_enc/files/meeting-documents/brazil_fip_monitoring_and_reporting_2016.pdf,2016,Evaluation,Brazil,,https://www.cif.org/documents/fip-brazil-monitoring-and-evaluation-report-2016,out_of_scope_geo
fip-ghana-monitoring-and-evaluation-report-2016,FIP Ghana - Monitoring and Evaluation Report 2016,https://www.cif.org/sites/cif_enc/files/meeting-documents/ghana_fip_monitoring_and_reporting_2016.pdf,2016,Evaluation,Ghana,,https://www.cif.org/documents/fip-ghana-monitoring-and-evaluation-report-2016,kept
zambia-joint-mdb-scoping-mission-october-52015-completion-report,"Zambia - Joint MDB Scoping Mission - October 5,2015 -Completion Report",https://www.cif.org/sites/cif_enc/files/meeting-documents/fip_zambia_scoping_mission_october_5_completion_report.pdf,2015,Completion report,Zambia,,https://www.cif.org/documents/zambia-joint-mdb-scoping-mission-october-52015-completion-report,kept
srep-madagascar-scoping-mission-june-8-112015-completion-report-french,"SREP Madagascar Scoping Mission -June 8-11,2015 -Completion Report-French",https://www.cif.org/sites/cif_enc/files/meeting-documents/srep-madagascar_scoping_mission_june_8-112015_completion_report_0.pdf,2015,Completion report,Madagascar,,https://www.cif.org/documents/srep-madagascar-scoping-mission-june-8-112015-completion-report-french,kept
fip-ghana-monitoring-and-evaluation-report-2015,FIP Ghana - Monitoring and Evaluation Report 2015,https://www.cif.org/sites/cif_enc/files/meeting-documents/fip_ghana_-_monitoring_and_evaluation_report_2015.pdf,2015,Evaluation,Ghana,,https://www.cif.org/documents/fip-ghana-monitoring-and-evaluation-report-2015,kept
fip-brazil-monitoring-and-evaluation-report-2015,FIP Brazil - Monitoring and Evaluation Report 2015,https://www.cif.org/sites/cif_enc/files/meeting-documents/fip_brazil_-_monitoring_and_evaluation_report_2015.pdf,2015,Evaluation,Brazil,,https://www.cif.org/documents/fip-brazil-monitoring-and-evaluation-report-2015,out_of_scope_geo
