"file","gef_id","doc_type","ext","scanned","year_text","year_filename","year_meta","final_year","method"
"gef_10002_Terminal_Evaluation.pdf","10002","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_10025_Terminal_Evaluation.pdf","10025","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10026_Terminal_Evaluation.pdf","10026","Terminal_Evaluation","pdf","FALSE","2024","NA","NA","2024","text"
"gef_10027_Terminal_Evaluation.pdf","10027","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10117_Mid-Term_Review.pdf","10117","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10149_Terminal_Evaluation.pdf","10149","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10157_Terminal_Evaluation.pdf","10157","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_10165_Mid-Term_Review.pdf","10165","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10186_Mid-Term_Review.xlsx","10186","Mid-Term_Review","xlsx","FALSE","NA","NA","2014","2014","ooxml_created"
"gef_10199_Mid-Term_Review.pdf","10199","Mid-Term_Review","pdf","FALSE","2024","NA","NA","2024","text"
"gef_10347_Mid-Term_Review.doc","10347","Mid-Term_Review","doc","FALSE","NA","NA","2024","2024","ole_created"
"gef_10348_Mid-Term_Review.pdf","10348","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_1040_Completion_Report.doc","1040","Completion_Report","doc","FALSE","NA","NA","2007","2007","ole_created"
"gef_10429_Terminal_Evaluation.pdf","10429","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10470_Mid-Term_Review.pdf","10470","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10471_Mid-Term_Review.pdf","10471","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10473_Mid-Term_Review.pdf","10473","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10475_Mid-Term_Review.pdf","10475","Mid-Term_Review","pdf","FALSE","2024","NA","NA","2024","text"
"gef_10479_Mid-Term_Review.pdf","10479","Mid-Term_Review","pdf","FALSE","2024","NA","NA","2024","text"
"gef_10486_Mid-Term_Review.pdf","10486","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10530_Mid-Term_Review.pdf","10530","Mid-Term_Review","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10583_Terminal_Evaluation.pdf","10583","Terminal_Evaluation","pdf","FALSE","2025","NA","NA","2025","text"
"gef_10594_Terminal_Evaluation.pdf","10594","Terminal_Evaluation","pdf","FALSE","NA","NA","NA","NA","none"
"gef_10768_Mid-Term_Review.pdf","10768","Mid-Term_Review","pdf","FALSE","2026","NA","NA","2026","text"
"gef_10817_Mid-Term_Review.docx","10817","Mid-Term_Review","docx","FALSE","2025","NA","2025","2025","text"
"gef_1607_Evaluation.xls","1607","Evaluation","xls","FALSE","NA","NA","2007","2007","ole_created"
"gef_1686_Terminal_Evaluation.pdf","1686","Terminal_Evaluation","pdf","FALSE","2014","NA","NA","2014","text"
"gef_180_Completion_Report.doc","180","Completion_Report","doc","FALSE","NA","NA","2002","2002","ole_created"
"gef_181_Completion_Report.doc","181","Completion_Report","doc","FALSE","NA","NA","2002","2002","ole_created"
"gef_2256_Evaluation.pdf","2256","Evaluation","pdf","FALSE","2006","NA","NA","2006","text"
"gef_2889_Evaluation.xls","2889","Evaluation","xls","FALSE","NA","NA","2007","2007","ole_created"
