project_code,document,project_title,project_id,project_lead,publication_year,start_year,closure_year,project_scale,location_count,target_beneficiary_project,results_set,budget_total,disbursed,currency,funding_mechanism,funder,implementor,document_type,resource_id,evidence_depth
"P001","P001_doc3.pdf","AFCC2/RI -Support to NPCA TerrAfrica Secretariat","P149269","CON14 || NEPAD || African Union Development Agency","2019","2014","2018","multinational","22 || 24 || 26","CANDIDATE || farmer group || community","15 || 12 || >1,000 || N","3750000 || 3720411","3720411 || 3629277","USD","grant","GLO18 || World Bank || TerrAfrica Leveraging Fund","CON14 || NEPAD","implementation completion report","ICR00004643","2"
"P002","P002_doc3.pdf","Resilient Food Systems (RFS)","9070 || GEF ID 9070","GLO17 || IFAD","2025","2017","2024 || 2022","multinational","12","smallholder farmer","4700000 || 47 || 350421 || 350000 || 88.4 || 88400000 || 476027 || 478000 || 56707 || 57000 || 613688 || 613000","904100000 || 901000000 || 117900000","","USD","grant","GLO28 || GEF","GLO17 || IFAD || FAO || UNDP || World Bank || UNIDO","portfolio performance review || impact evaluation report || multi-country synthesis","GEF/E/C.70/02","2"
"P003","P003_doc1.pdf","Taking Deforestation Out Of Commodity Supply Chains || Good Growth Partnership","9072 || GEF ID 9072","GLO27 || UNDP","2025","2017","2022","multinational","1","smallholder farmer || indigenous peoples || CANDIDATE","10496 || 2829 || 37 || 27505238 || 28000000 || 129000000 || 140000000 || 488900000","308200000 || 44700000","","USD","grant","GLO28 || GEF","GLO27 || UNDP || WWF || IFC || UNEP || Conservation International","portfolio performance review || impact evaluation report || multi-country synthesis","GEF/E/C.70/02 || ","2"
"P004","P004_doc1.pdf","Coastal Fisheries Initiative (CFI)","9060 || GEF ID 9060","GLO15 || FAO","2025","2017"," || 2025","multinational","3","artisanal fisher || community","973000 || 119902 || 393 || 26","245800000 || 37800000","","USD","grant","GLO28 || GEF","GLO15 || FAO || UNDP || WWF || World Bank","portfolio performance review || impact evaluation report || multi-country synthesis","GEF/E/C.70/02 || ","2"
"P005","P005_doc1.pdf","Niassa Food and Livelihood Security Programme"," || 119444","UK15 || Oxfam","2007","2004","2007","sub-national","5","smallholder farmer || farmer association || community","6324 || 30 || 68"," || 200000",""," || USD","grant","UK15 || Oxfam","UK15 || Oxfam || UCASN","monitoring & evaluation report || terminal evaluation","","2"
"P006","P006_doc1.pdf","Pilot Research/Development Support Project on Integrated Pest Management (IPM) for Subsistence Farming in the Lake Chad Basin","P-Z1-AA0-006 || 12402","CON3 || African Development Bank","2010","2001","2005","multinational","20","subsistence farmer || smallholder farmer","120 || 10000 || 24","1710000","1390000 || 1393269","UA","grant","CON3 || African Development Bank || Lake Chad Basin Commission","CON54 || Lake Chad Basin Commission","terminal evaluation","","2"
"P007","P007_doc1.pdf","Empowering Rwandan Farmers: Financial Education as a Catalyst for Sustainable Agricultural Development","","CON26 || ACRE Africa","2023","2019"," || 2022","sub-national","2","smallholder farmer","85.7 || 71.4 || 100 || 43 || ","","",""," || grant","CHE42 || Swiss Capacity Building Facility || SCBF","CON26 || ACRE Africa","impact evaluation report","","2 || 1"
"P008","P008_doc1.pdf","Cultivating Resilience: The Journey of Agricultural Insurance Product Upscaling in Rwanda","","CON26 || ACRE Africa","2023","2019"," || 2022","national || sub-national","5 || N/A","smallholder farmer",">10,000 || >10000 || 20001 || 48 || 93.3","","",""," || grant","CHE42 || Swiss Capacity Building Facility || SCBF","CON26 || ACRE Africa","impact evaluation report","","2"
"P009","P009_doc3.pdf","South West Indian Ocean Fisheries Governance and Shared Growth Project 1 || SWIOFish1","P132123","GLO18 || World Bank","2023","2015","2022","multinational","3","artisanal fisher || community","11 || 379162 || 137920 || 165 || 30","91000000 || 90826491","86236422","USD","loan+grant || blended || grant+loan","GLO18 || World Bank || GEF","KM1 || Government of Comoros || Government of Mozambique || Government of Tanzania || Indian Ocean Commission || fisheries","implementation completion report","ICR00006265","2"
"P010","P010_doc3.pdf","Agricultural Productivity Program for Southern Africa (APPSA)","P094183","ZA2 || GLO18 || CCARDESA || World Bank","2020","2013","2020","multinational","3","smallholder farmer || producer","301 || 4612946 || 4600000 || 95 || 80 || 83 || 40472 || 175 || 37","94640000 || 89993045","82898924","USD","loan || loan+grant","GLO18 || World Bank || IDA","ZA2 || CCARDESA || IIAM || ZARI || Chitedze","implementation completion report","ICR00005276","2"
