timestamp,source,project_code,doc_type,title,url,filepath,status,notes
2026-03-10 14:51:39,worldbank,DZ-DZ-Transport Technical Assistance -- P072458,Implementation Completion and Results Report,Algeria - Transport Technical Assistance Project,http://documents.worldbank.org/curated/en/686881468202180075/pdf/ICR7460ICR0P0724580Box334091B01PUBLIC1.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-DZ-Transport_Technical_Assistance_--_P072458_Implementation_Completion_and_Results_Report_2008.pdf,success,NA
2026-03-10 14:51:41,worldbank,DZ-Energy and Mining Technical Assistance Loan (EMTAL) -- P067567,Implementation Completion and Results Report,Algeria - Energy and Mining Technical Assistance Loan Project (EMTAL),http://documents.worldbank.org/curated/en/222621468191955116/pdf/ICR6940Box03341IC010disclosed081261.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-Energy_and_Mining_Technical_Assistance_Loan_EMTAL_--_P067567_Implementation_Completion_and_Results_Report_2008.pdf,success,NA
2026-03-10 14:51:44,worldbank,DZ-Telecommunications and Postal Sector Reform Project -- P070308,Implementation Completion and Results Report,Algeria - Telecommunications and Postal Sector Reform Project,http://documents.worldbank.org/curated/en/156621468000574322/pdf/ICR3740ICR0P071closed0March0502008.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-Telecommunications_and_Postal_Sector_Reform_Project_--_P070308_Implementation_Completion_and_Results_Report_2007.pdf,success,NA
2026-03-10 14:51:47,worldbank,DZ-Second Rural Employment Project -- P076784,Implementation Completion and Results Report,Algeria - Second Rural Employment Project,http://documents.worldbank.org/curated/en/432921468003877387/pdf/ICR0000497.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-Second_Rural_Employment_Project_--_P076784_Implementation_Completion_and_Results_Report_2007.pdf,success,NA
2026-03-10 14:51:50,worldbank,DZ-DZ-URBAN NATURAL HAZARD VULNERABILITY -- P067605,Implementation Completion and Results Report,Algeria - Urban Natural Hazard Vulnerability Reduction Project,http://documents.worldbank.org/curated/en/277551468211458261/pdf/ICR33.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-DZ-URBAN_NATURAL_HAZARD_VULNERABILITY_--_P067605_Implementation_Completion_and_Results_Report_2007.pdf,success,NA
2026-03-10 14:51:54,worldbank,DZ-MORTGAGE FINANCE TECHNICAL ASSISTANCE PROJECT -- P064983,Implementation Completion and Results Report,Algeria - Mortgage Finance Technical Assistance Project,http://documents.worldbank.org/curated/en/531631468009277696/pdf/ICR0000417.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-MORTGAGE_FINANCE_TECHNICAL_ASSISTANCE_PROJECT_--_P064983_Implementation_Completion_and_Results_Report_2007.pdf,success,NA
2026-03-10 14:51:58,worldbank,DZ-DZ-LOW INCOME HOUSING -- P042940,Implementation Completion and Results Report,Algeria - Low Income Housing Project,http://documents.worldbank.org/curated/en/518701468742560403/pdf/271380Alger.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-DZ-LOW_INCOME_HOUSING_--_P042940_Implementation_Completion_and_Results_Report_2003.pdf,success,NA
2026-03-10 14:52:00,worldbank,DZ-MEDITERRANEAN POLLUTION CONTRO -- P004871,Implementation Completion and Results Report,Algeria - Oil Pollution Management Project,http://documents.worldbank.org/curated/en/232161468768709107/pdf/multi-page.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-MEDITERRANEAN_POLLUTION_CONTRO_--_P004871_Implementation_Completion_and_Results_Report_2000.pdf,success,NA
2026-03-10 14:52:04,worldbank,DZ-DZ-MASCARA EMERG.RECONS -- P038695,Implementation Completion and Results Report,Algeria - Mascara Emergency Reconstruction Project,http://documents.worldbank.org/curated/en/128841468203991961/pdf/multi-page.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-DZ-MASCARA_EMERG_RECONS_--_P038695_Implementation_Completion_and_Results_Report_2000.pdf,success,NA
2026-03-10 14:52:06,worldbank,DZ-EL KALA NATIONAL PARK -- P004870,Implementation Completion and Results Report,Algeria - El-Kala National Park and Wetlands Complex Management Project,http://documents.worldbank.org/curated/en/672831468000573359/pdf/multi-page.pdf,C:\Users\mlolita\Downloads\grey_lit_downloader_batch1\grey_lit_downloader/downloads/worldbank/worldbank_DZ-EL_KALA_NATIONAL_PARK_--_P004870_Implementation_Completion_and_Results_Report_2000.pdf,success,NA
