id,key,title,doc_date,doc_type,country,project_id,screen_status,already_have,topics,pdf_url,web_url,report_name,report_no
25121542,P045499,Egypt - Second National Drainage Project,2015-09-30T04:00:00Z,Implementation Completion and Results Report,"Egypt, Arab Republic of",EG-The Second National Drainage Project -- P045499,to_screen,TRUE,NA,http://documents.worldbank.org/curated/en/389571467997910109/pdf/ICR3268-P045499-Box393213B-OUO-9.pdf,http://documents.worldbank.org/curated/en/389571467997910109,Egypt - Second National Drainage Project,ICR3268
29520465,P055120,Tanzania - Transport Sector Support Project,2018-01-16T05:00:00Z,Implementation Completion and Results Report,Africa,3A-Tanzania-Transport Sector Support Project -- P055120,to_screen,FALSE,"Industry,Science and Technology Development,Transport",http://documents.worldbank.org/curated/en/768851516371212232/pdf/ICR-Tanzania-Transport-Sector-Support-Project-01162018.pdf,http://documents.worldbank.org/curated/en/768851516371212232,Tanzania - Transport Sector Support Project,ICR4352
27085286,P056256,Ghana - Urban Water Project,2016-12-21T05:00:00Z,Implementation Completion and Results Report,Ghana,GH-Urban Water Project -- P056256,to_screen,FALSE,"Water Resources,Water Supply and Sanitation",http://documents.worldbank.org/curated/en/754801484077117837/pdf/ICR00003112-12212016.pdf,http://documents.worldbank.org/curated/en/754801484077117837,Ghana - Urban Water Project,ICR3112
25863821,P064876,Burundi - Road Sector Development Project,2016-02-01T05:00:00Z,Implementation Completion and Results Report,Burundi,BI-Burundi Road Sector Development -- P064876,to_screen,FALSE,Transport,http://documents.worldbank.org/curated/en/568001467988930907/pdf/ICR3367-P064876-Box394849B-PUBLIC-disclosed-2-1-16.pdf,http://documents.worldbank.org/curated/en/568001467988930907,Burundi - Road Sector Development Project,ICR3367
27979862,P069258,"Congo, Democratic Republic of - Southern African Power Market Project",2017-06-20T04:00:00Z,Implementation Completion and Results Report,Africa,3E-AFCC2/RI-3A-Southern Afr Power Mrkt APL 1 (FY04) -- P069258,to_screen,FALSE,Energy,http://documents.worldbank.org/curated/en/327301505398736839/pdf/ICR4002.pdf,http://documents.worldbank.org/curated/en/327301505398736839,"Congo, Democratic Republic of - Southern African Power Market Project",ICR4002
30329891,P069896,Benin - Forest and Adjacent Land Management Project,2018-07-31T04:00:00Z,Implementation Completion and Results Report,Benin,"BJ-Forests and Adjacent Lands Management Project -- P069896,BJ-BJ-Forest & Adjacent Land Mgmt Addit Fin -- P132431,BJ-Benin AF Forest and Adjacent Land Management -- P131051",in_scope,TRUE,"Agriculture,Energy,Environment,Poverty Reduction,Rural Development,Water Resources",http://documents.worldbank.org/curated/en/218141533572868030/pdf/128693-Replacement-PUBLIC.pdf,http://documents.worldbank.org/curated/en/218141533572868030,Benin - Forest and Adjacent Land Management Project,128693
29955541,P071391,Nigeria - Second National Urban Water Sector Reform Project,2018-05-21T04:00:00Z,Implementation Completion and Results Report,Nigeria,NG-Second National Urban Water Sector Reform Project -- P071391,to_screen,FALSE,"Environment,Water Resources,Water Supply and Sanitation",http://documents.worldbank.org/curated/en/292051528124267203/pdf/ICR-Main-Document-05302018.pdf,http://documents.worldbank.org/curated/en/292051528124267203,Nigeria - Second National Urban Water Sector Reform Project,ICR4098
24021116,P071579,Benin - Community Based Coastal and Marine Biodiversity Management Project,2015-02-13T05:00:00Z,Implementation Completion and Results Report,Benin,BJ-Community-Based Coastal and Marine Biodiversity Management Project -- P071579,to_screen,TRUE,Environment,http://documents.worldbank.org/curated/en/848941468201571023/pdf/ICR32480P071570C0disclosed020180150.pdf,http://documents.worldbank.org/curated/en/848941468201571023,Benin - Community Based Coastal and Marine Biodiversity Management Project,ICR3248
27056630,P073977,Egypt - Integrated Irrigation Improvement and Management Project,2016-12-15T05:00:00Z,Implementation Completion and Results Report,"Egypt, Arab Republic of",EG-EGYPT-Integrated Irrigation Improvement and Management Project -- P073977,in_scope,TRUE,NA,http://documents.worldbank.org/curated/en/260961482852775036/pdf/IIIMP-ICR-Final-12212016.pdf,http://documents.worldbank.org/curated/en/260961482852775036,Egypt - Integrated Irrigation Improvement and Management Project,ICR3931
31045861,P074091,Kenya - Health Sector Support Project,2019-04-29T04:00:00Z,Implementation Completion and Results Report,Kenya,KE-Health Sector Support -- P074091,to_screen,FALSE,"Environment,Health, Nutrition and Population,Industry",http://documents.worldbank.org/curated/en/538061557159183444/pdf/Kenya-Health-Sector-Support-Project.pdf,http://documents.worldbank.org/curated/en/538061557159183444,Kenya - Health Sector Support Project,ICR4624
27014957,P074106,Kenya - Western Kenya Community Driven Development and Flood Mitigation Project,2016-09-20T04:00:00Z,Implementation Completion and Results Report,Kenya,KE-Western Kenya CDD and Flood Mitigation Project -- P074106,in_scope,TRUE,Water Resources,http://documents.worldbank.org/curated/en/706421481552765649/pdf/ICR-Main-Document-P074106-2016-09-27-10-01-12072016.pdf,http://documents.worldbank.org/curated/en/706421481552765649,Kenya - Western Kenya Community Driven Development and Flood Mitigation Project,ICR3843
24205191,P075809,Tunisia - Second Higher Education Reform Support Project,2015-03-17T04:00:00Z,Implementation Completion and Results Report,Tunisia,TN-Higher Education Reform Support II -- P075809,to_screen,FALSE,Education,http://documents.worldbank.org/curated/en/651081468102882976/pdf/ICR32970P075800C0disclosed030250150.pdf,http://documents.worldbank.org/curated/en/651081468102882976,Tunisia - Second Higher Education Reform Support Project,ICR3297
40079214,P075941,"Burundi, Rwanda, Tanzania - AFR RI-Regional Rusumo Falls Hydroelectric Project - Implementation Completion and Results Report",2025-12-10T05:00:00Z,Implementation Completion and Results Report,Africa,3E-AFR RI-Regional Rusumo Falls Hydroelectric Project -- P075941,to_screen,FALSE,NA,https://documents.worldbank.org/curated/en/099122425100027962/pdf/BOSIB-e1c46266-eaa4-4982-b7f4-360842274b50.pdf,http://documents.worldbank.org/curated/en/099122425100027962,NA,ICR00541
